
Entity Pair                                    Co-occurrences
dumbledore /// malfoy                                       1
madame pomfrey /// malfoy                                   1
carlinhos /// malfoy                                        1
madame pomfrey /// rony                                     1
hagrid /// pirraça                                          1
hagrid /// norberto                                         1
malfoy /// minerva                                          1
minerva /// neville                                         1
acho /// profa                                              1
encarou hagrid /// hagrid                                   1
canino /// draco                                            1
hagrid /// harry                                            1
cautela /// hagrid                                          1
hagrid /// olá                                              1
agouro /// hagrid                                           1
agouro /// olá                                              1
acabavam /// hagrid                                         1
acabavam /// hermione                                       1
agouro /// tomei                                            1
firenze /// hagrid                                          1
firenze /// voldemort                                       1
fofo /// snape                                              1
dumbledore /// neville                                      1
fofo /// hagrid                                             1
fofo /// voldemort                                          1
agouro /// firenze                                          1
dumbledore /// hermione                                     1
dumbledore /// potter                                       1
rony /// weasley                                            1
mulher gorda /// “                                          1
mulher gorda /// snape                                      1
hermione /// mulher gorda                                   1
snape /// “                                                 1
hermione /// “                                              1
lino jordan /// rony                                        1
neville /// trevo                                           1
barão /// espero                                            1
fofo /// hermione                                           1
severo /// snape                                            1
hermione granger /// snape                                  1
quirrell /// sei                                            1
quirrell /// vem                                            1
quirrell /// saia                                           1
mestre /// quirrell                                         1
mestre /// voldemort                                        1
quirrell /// voldemort “mate-o                              1
aquilo /// quirrell                                         1
sr. ronald weasley /// srta                                 1
nicolau /// perenelle                                       1
hermione /// voldemort                                      1
hermione /// quirrell                                       1
dumbledore /// fiz rony                                     1
herbologia /// neville                                      1
gina weasley /// rony                                       1
